days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
114,1,6071,198,11,-35,-13,-31,-33,-42,20,240,237.726,0.9475,99.0525,238,0.833333333,99.16666667
148,37,24629,794,28,-20,-6,-2,-32,-35,14,488,845.981,73.3567623,26.6432377,846,73.36065574,26.63934426
86,21,248,5,0,-33,-6,84,-27,-41,15,50,74.142,48.284,51.716,74,48,52
128,45,7142,316,11,-15,4,10,-15,-35,13,206,147.342,28.47475728,71.52524272,147,28.6407767,71.3592233
286,12,726934,15412,48,-22,-15,-24,-36,-33,8,1519,2277.817,49.95503621,50.04496379,2278,49.96708361,50.03291639
289,12,735685,15736,141,-22,-13,-21,-34,-29,8,3286,3359.863,2.247808886,97.75219111,3360,2.251978089,97.74802191
192,37,81534,1479,18,-12,0,85,-21,-34,9,2007,1887.666,5.945889387,94.05411061,1888,5.929247633,94.07075237
283,13,350033,7348,54,-14,-8,27,-27,-31,8,2011,1867.924,7.114669319,92.88533068,1868,7.110890104,92.8891099
208,21,27079,700,4,-11,2,136,2,-15,2,315,682.744,116.744127,-16.74412698,683,116.8253968,-16.82539683
74,28,6,0,0,3,21,41,10,0,-1,5,1.223,75.54,24.46,1,80,20
170,21,13197,520,2,-6,9,93,-8,-32,8,202,220.56,9.188118812,90.81188119,221,9.405940594,90.59405941
174,37,53616,1223,3,-10,1,79,-23,-35,9,805,1284.345,59.54596273,40.45403727,1284,59.50310559,40.49689441
102,12,18445,446,27,-49,-20,-54,-65,-40,15,997,927.683,6.952557673,93.04744233,928,6.920762287,93.07923771
236,12,594287,10325,51,-25,-16,-28,-44,-22,6,3004,2935.117,2.29304261,97.70695739,2935,2.296937417,97.70306258
230,28,73207,2128,44,-7,-3,17,0,-27,5,1071,1005.561,6.110084034,93.88991597,1006,6.069094304,93.9309057
107,21,2429,129,7,-28,-4,29,-31,-45,17,138,144.396,4.634782609,95.36521739,144,4.347826087,95.65217391
132,45,7792,346,15,-13,1,24,-14,-33,11,139,265.876,91.27769784,8.722302158,266,91.36690647,8.633093525
69,45,7,0,0,9,8,53,7,2,-1,1,1.808,80.8,19.2,2,100,0
245,21,49185,948,15,-6,6,77,-6,-29,6,789,836.81,6.059569075,93.94043093,837,6.08365019,93.91634981
190,12,220476,3953,112,-22,-12,-14,-39,-36,12,9882,8871.464,10.22602712,89.77397288,8871,10.23072253,89.76927747
236,13,262099,5132,40,-17,-7,33,-32,-19,4,1812,2482.581,37.00778146,62.99221854,2483,37.03090508,62.96909492
95,51,2407,52,6,-45,-14,4,-51,-34,14,395,313.657,20.59316456,79.40683544,314,20.50632911,79.49367089
96,1,1841,31,5,-50,-18,-1,-40,-36,12,208,239.999,15.38413462,84.61586538,240,15.38461538,84.61538462
194,21,19389,625,3,-10,3,122,1,-14,2,268,474.888,77.19701493,22.80298507,475,77.23880597,22.76119403
95,1,1633,26,5,-41,8,4,-33,-26,11,98,216.102,120.5122449,-20.5122449,216,120.4081633,-20.40816327
293,51,167754,3485,28,-14,-5,41,-32,-33,10,926,1133.337,22.39060475,77.60939525,1133,22.35421166,77.64578834
205,37,107432,1726,28,-13,-2,44,-25,-35,11,1945,1935.869,0.469460154,99.53053985,1936,0.462724936,99.53727506
85,21,198,5,1,-33,-5,69,-23,-40,15,35,59.872,71.06285714,28.93714286,60,71.42857143,28.57142857
265,1,145780,2439,2,-9,-4,28,-5,-26,5,818,776.947,5.018704156,94.98129584,777,5.012224939,94.98777506
263,45,137240,3188,11,-8,1,67,-2,-11,1,922,871.984,5.42472885,94.57527115,872,5.422993492,94.57700651
