days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
87,37,128,1,-35,-6,38,-45,-39,16,3,6.653
249,37,1586,50,-12,2,121,-14,-16,1,2889,2813.315
250,37,1099,1,-9,1,105,-23,-19,1,2890,2747.933
235,51,0,0,-18,-1,88,-18,-13,3,2443,2115.217
223,21,272,2,-9,0,65,-9,-32,9,775,1058.528
218,45,1282,47,-7,-2,34,-4,-32,8,1894,1879.196
211,47,1778,21,-4,2,87,-13,-32,8,1020,1421.898
76,28,2,0,4,25,24,4,-14,4,0,0.014
129,47,346,4,-21,-1,-21,-26,-37,15,241,338.751
143,13,1031,50,-16,-1,51,-33,-38,13,1808,1812.043
191,13,2838,8,-10,-1,21,-32,-38,12,2930,2978.372
117,12,684,19,-47,-23,-52,-63,-40,12,1074,985.693
264,1,798,0,-11,-2,46,-2,-16,2,2437,2436.793
71,51,7,0,7,9,40,0,-1,0,0,0.025
252,13,1744,26,-14,-4,28,-29,-35,9,6070,6003.433
321,28,905,36,-11,-7,-1,3,-18,4,3581,3596.838
261,12,3273,147,-24,-16,-24,-39,-33,9,13086,12855.504
173,51,471,9,-16,1,104,-22,-14,3,1620,1524.477
212,47,2049,13,-6,0,62,-12,-33,8,1033,1245.353
289,37,2532,18,-11,-1,52,-20,-29,7,3874,3941.954
226,13,2816,82,-12,-4,17,-30,-37,10,4538,4560.993
86,12,491,6,-40,-14,-34,-51,-42,18,29,40.988
163,13,1101,46,-9,2,44,-35,-35,11,2375,2282.29
181,47,2125,8,-3,-1,65,-11,-31,9,592,780.825
295,21,1452,21,-11,0,75,-3,-25,6,1363,1368.27
128,47,228,-2,-12,6,35,-20,-35,11,237,262.519
270,13,1442,40,-13,-6,58,-25,-11,2,6914,6765.329
234,47,1669,61,-12,-6,47,-14,-30,8,1549,1882.657
87,13,524,5,-35,-9,33,-45,-42,18,65,35.037
257,12,2395,8,-27,-18,-42,-46,-23,6,12608,12131.728
279,1,544,1,-7,-2,21,-6,-24,4,2559,2559.543
197,37,1816,16,-9,1,64,-25,-35,9,1568,1687.906
240,13,2819,82,-15,-7,20,-33,-33,10,5393,5376.803
83,37,42,0,-32,-5,-17,-41,-33,14,0,4.231
316,28,1271,17,-7,-5,6,5,-24,6,3514,3521.342
221,21,962,8,-9,10,236,12,-8,0,772,1059.587
249,51,1199,1,-14,3,144,-16,-16,1,2678,2352.392
162,21,175,7,-4,11,81,-9,-32,9,484,494.045
253,13,2192,58,-14,-7,37,-31,-34,8,6128,6182.022
149,37,784,33,-15,0,21,-30,-34,13,827,1000.111
311,28,1031,14,-13,-12,0,1,-18,4,3433,3459.3
166,21,0,0,-8,7,141,-1,-13,1,499,557.317
157,51,865,7,-22,-3,50,-35,-40,15,1460,1440.693
107,47,426,7,-25,-3,1,-31,-42,15,141,173.506
216,51,1145,26,-12,0,27,-36,-40,13,2244,2179.363
301,12,4226,56,-21,-12,-23,-36,-29,8,16505,16473.283
286,28,1009,14,-10,-8,18,4,-27,6,3115,3102.131
309,47,3445,24,-12,-4,35,-18,-23,7,3478,3673.555
148,28,328,21,1,5,22,-2,-28,9,692,662.28
285,45,785,1,-11,-5,3,6,-16,4,3552,3540.94
206,1,1792,40,-11,-3,37,0,-30,10,1439,1382.378
284,45,945,21,-12,-3,31,-5,-10,3,3551,3565.843
319,28,969,3,-10,-6,23,6,-11,2,3543,3544.831
202,12,10287,90,-23,-14,-20,-42,-37,11,5072,5093.077
320,37,3117,50,-14,-4,13,-28,-14,3,4806,4794.211
324,28,1638,23,-11,-5,2,4,-19,5,3642,3629.014
184,28,0,0,10,13,41,10,-31,7,1092,1073.685
250,45,663,10,0,5,96,3,-20,1,2887,2793.358
248,28,823,22,-8,-3,30,13,-26,4,2558,2579.821
68,45,4,0,12,7,38,24,2,-1,0,0.0
164,45,729,5,-6,5,44,4,-29,8,593,610.649
146,13,532,3,-23,-4,67,-51,-70,20,1830,1758.226
155,21,225,8,-3,16,98,-10,-32,9,450,468.432
97,37,285,2,-36,-10,22,-46,-44,16,33,49.496
199,47,2279,19,-9,1,89,-9,-32,8,815,894.578
78,37,22,0,-22,9,28,-23,-25,10,0,0.942
84,1,46,0,-32,-5,4,-18,-34,15,0,3.563
121,28,643,32,-10,6,15,-14,-35,12,282,397.689
152,37,916,9,-15,1,75,-25,-15,4,886,1024.449
237,37,1389,4,-15,-3,48,-26,-33,8,2535,2554.472
212,13,4183,29,-11,-3,18,-33,-38,11,3671,3537.824
105,12,590,72,-46,-23,-52,-56,-48,20,571,518.841
161,51,439,18,-15,1,85,-33,-39,13,1514,1483.118
318,12,6760,73,-21,-12,-24,-37,-27,8,17445,17515.498
247,51,1111,10,-11,0,59,-29,-39,10,2662,2665.215
230,1,571,27,-9,-2,30,-3,-29,6,1925,1937.742
98,37,351,13,-36,-9,24,-44,-45,18,46,73.621
123,28,229,10,-16,8,28,-15,-22,6,291,289.862
120,28,0,0,-11,2,-7,-18,-37,14,250,237.355
