days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
302,51,178183,1429,40,3636,3607.396,0.786688669,99.21331133,3607,0.797579758,99.20242024
112,1,5668,244,18,180,178.467,0.851666667,99.14833333,178,1.111111111,98.88888889
102,47,4863,0,11,100,98.205,1.795,98.205,98,2,98
300,21,97866,924,12,1410,1734.144,22.98893617,77.01106383,1734,22.9787234,77.0212766
190,21,17919,400,97,608,619.171,1.837335526,98.16266447,619,1.809210526,98.19078947
314,51,194913,1435,29,3726,3735.94,0.26677402,99.73322598,3736,0.268384326,99.73161567
168,47,31830,670,108,493,519.972,5.470993915,94.52900609,520,5.476673428,94.52332657
297,28,115088,1212,6,3255,3240.334,0.450568356,99.54943164,3240,0.460829493,99.53917051
303,45,174591,1100,-1,3889,3863.448,0.657032656,99.34296734,3863,0.668552327,99.33144767
90,28,937,90,4,20,18.383,8.085,91.915,18,10,90
242,51,119747,938,46,2569,2603.893,1.358232775,98.64176722,2604,1.36239782,98.63760218
317,28,131970,1305,9,3519,3426.626,2.625007104,97.3749929,3427,2.614379085,97.38562092
154,28,16322,301,43,782,738.092,5.61483376,94.38516624,738,5.626598465,94.37340153
103,28,2942,300,-50,98,82.826,15.48367347,84.51632653,83,15.30612245,84.69387755
278,37,217496,610,35,3634,3574.516,1.636873968,98.36312603,3575,1.623555311,98.37644469
334,51,237836,1893,19,4062,3962.008,2.46164451,97.53835549,3962,2.461841457,97.53815854
152,21,9704,0,153,431,428.223,0.644315545,99.35568445,428,0.696055684,99.30394432
188,13,97534,1642,20,2878,2682.677,6.78676164,93.21323836,2683,6.775538568,93.22446143
234,51,112072,1212,74,2443,2372.33,2.89275481,97.10724519,2372,2.906262792,97.09373721
110,1,4946,223,-44,165,148.122,10.22909091,89.77090909,148,10.3030303,89.6969697
174,28,22287,1646,17,978,918.762,6.057055215,93.94294479,919,6.032719836,93.96728016
325,1,228373,2463,7,3451,3431.905,0.553317879,99.44668212,3432,0.550565054,99.44943495
268,1,148206,1053,-14,2480,2495.477,0.624072581,99.37592742,2495,0.60483871,99.39516129
218,51,95867,818,79,2299,2257.372,1.810700304,98.1892997,2257,1.826881253,98.17311875
293,13,364909,1134,35,7657,7552.85,1.360193287,98.63980671,7553,1.358234295,98.6417657
109,21,2707,185,67,144,144.356,0.247222222,99.75277778,144,0,100
278,12,707751,1813,-44,14671,14655.008,0.109004158,99.89099584,14655,0.109058687,99.89094131
210,1,82530,1260,24,1493,1729.671,15.85204287,84.14795713,1730,15.87407904,84.12592096
118,21,4146,72,55,213,212.811,0.088732394,99.91126761,213,0,100
311,51,190874,2103,41,3704,3679.722,0.655453564,99.34454644,3680,0.647948164,99.35205184
90,45,925,151,-1,18,13.473,25.15,74.85,13,27.77777778,72.22222222
83,47,615,110,-16,2,8.076,303.8,-203.8,8,300,-200
189,47,53514,1359,103,665,709.763,6.731278195,93.2687218,710,6.766917293,93.23308271
266,21,62731,814,79,1119,1122.045,0.272117962,99.72788204,1122,0.268096515,99.73190349
320,21,137586,1449,16,1661,1784.115,7.412101144,92.58789886,1784,7.405177604,92.5948224
274,45,147942,308,23,3378,3351.816,0.775133215,99.22486679,3352,0.769686205,99.2303138
223,51,101746,996,69,2344,2240.512,4.415017065,95.58498294,2241,4.394197952,95.60580205
246,37,173509,1216,45,2779,2791.92,0.464915437,99.53508456,2792,0.467794171,99.53220583
265,12,677362,1671,-32,13317,13317.165,0.001239018,99.99876098,13317,0,100
287,12,729591,2657,-21,15531,15506.157,0.159957504,99.8400425,15506,0.160968386,99.83903161
142,51,34950,813,14,1136,1174.052,3.349647887,96.65035211,1174,3.345070423,96.65492958
90,13,3224,389,2,103,55.018,46.58446602,53.41553398,55,46.60194175,53.39805825
145,51,37727,1483,62,1208,1174.14,2.802980132,97.19701987,1174,2.814569536,97.18543046
277,12,705938,2726,-33,14628,14566.798,0.41838939,99.58161061,14567,0.417008477,99.58299152
86,45,456,32,-5,9,8.199,8.9,91.1,8,11.11111111,88.88888889
101,37,3908,257,12,74,75.213,1.639189189,98.36081081,75,1.351351351,98.64864865
253,12,644781,2006,-29,12115,12164.114,0.405398267,99.59460173,12164,0.404457284,99.59554272
175,37,54470,854,77,1251,1232.617,1.469464428,98.53053557,1233,1.438848921,98.56115108
205,12,385091,10171,-31,5518,5621.573,1.877002537,98.12299746,5622,1.884740848,98.11525915
109,47,6763,433,2,145,169.571,16.94551724,83.05448276,170,17.24137931,82.75862069
252,12,642775,1797,-30,11915,11792.385,1.02908099,98.97091901,11792,1.032312211,98.96768779
88,13,2592,225,14,79,47.364,40.04556962,59.95443038,47,40.50632911,59.49367089
190,45,48909,1557,36,884,1091.724,23.49819005,76.50180995,1092,23.52941176,76.47058824
228,45,105882,1041,50,2260,2139.054,5.35159292,94.64840708,2139,5.353982301,94.6460177
330,21,166139,3301,1,1835,1916.852,4.460599455,95.53940054,1917,4.46866485,95.53133515
330,12,946956,8126,-20,18254,18223.748,0.16572806,99.83427194,18224,0.16434754,99.83565246
222,1,101334,981,49,1768,1889.938,6.896945701,93.1030543,1890,6.900452489,93.09954751
180,1,36350,1245,58,924,934.482,1.134415584,98.86558442,934,1.082251082,98.91774892
101,47,4863,228,-5,98,97.447,0.564285714,99.43571429,97,1.020408163,98.97959184
153,12,55415,651,-24,2460,2477.231,0.700447154,99.29955285,2477,0.691056911,99.30894309
274,28,98886,696,20,2979,2989.314,0.346223565,99.65377644,2989,0.335683115,99.66431688
214,51,91782,981,93,2218,2183.833,1.540441839,98.45955816,2184,1.532912534,98.46708747
102,51,5077,568,17,130,117.686,9.472307692,90.52769231,118,9.230769231,90.76923077
149,1,16729,467,31,594,643.935,8.406565657,91.59343434,644,8.417508418,91.58249158
154,21,10185,139,95,442,443.837,0.41561086,99.58438914,444,0.452488688,99.54751131
257,47,171824,933,49,2078,2230.12,7.320500481,92.67949952,2230,7.314725698,92.6852743
125,51,19492,0,39,684,646.051,5.548099415,94.45190058,646,5.555555556,94.44444444
242,12,612206,3132,-22,11105,11017.405,0.788788834,99.21121117,11017,0.79243584,99.20756416
248,47,160597,1051,83,1837,1847.895,0.593086554,99.40691345,1848,0.598802395,99.4011976
302,21,101494,1857,31,1442,1574.945,9.219486824,90.78051318,1575,9.223300971,90.77669903
246,21,49991,806,64,966,981.661,1.621221532,98.37877847,982,1.6563147,98.3436853
103,13,12203,157,-57,447,359.794,19.50917226,80.49082774,360,19.46308725,80.53691275
267,28,95310,737,0,2874,2895.586,0.751078636,99.24892136,2896,0.765483646,99.23451635
320,13,424989,2084,13,8957,8946.806,0.113810428,99.88618957,8947,0.111644524,99.88835548
321,51,206763,2125,13,3835,3836.26,0.03285528,99.96714472,3836,0.026075619,99.97392438
122,13,26176,935,45,1167,1038.94,10.97343616,89.02656384,1039,10.96829477,89.03170523
160,51,51738,487,70,1496,1458.238,2.524197861,97.47580214,1458,2.540106952,97.45989305
288,37,236407,1926,49,3856,3843.599,0.321602697,99.6783973,3844,0.31120332,99.68879668
92,13,4806,570,-5,154,86.736,43.67792208,56.32207792,87,43.50649351,56.49350649
262,45,136318,872,23,3177,3058.976,3.714951212,96.28504879,3059,3.714195782,96.28580422
226,37,142636,1978,41,2287,2279.789,0.315303892,99.68469611,2280,0.306077831,99.69392217
178,21,14859,242,141,553,550.968,0.367450271,99.63254973,551,0.361663653,99.63833635
206,21,25931,784,135,691,696.848,0.846309696,99.1536903,697,0.868306802,99.1316932
95,13,6353,422,-18,208,124.405,40.18990385,59.81009615,124,40.38461538,59.61538462
164,28,19348,865,50,889,815.453,8.273003375,91.72699663,815,8.323959505,91.67604049
188,51,66740,638,75,1881,1874.952,0.3215311,99.6784689,1875,0.318979266,99.68102073
